dan	d a n
hardik	h a r d i k
hardok	h a r d o k
harenyau	h a r ə ɲ a w
harepa	h a r e p a
harganas	h a r ɡ a n a s
hariar	h a r i a r
harilang	h a r i l a ŋ
harilolong	h a r i l o l o ŋ
harimai	h a r i m a j
haritan	h a r i t a n
hariten	h a r i t e n
hariwis	h a r i w i s
hariyang	h a r i j a ŋ
harkamtibmas	h a r k a m t i b m a s
harkonas	h a r k o n a s
harkos	h a r k o s
harlap	h a r l a p
harmat	h a r m a t
harmatan	h a r m a t a n
harnal	h a r n a l
harnes	h a r n ə s
haroko	h a r o k o
harpaksofobia	h a r p a k s o f o b i a
harpelnas	h a r p ə l n a s
harpitnas	h a r p i t n a s
harsi	h a r s i
hartal	h a r t a l
hartatib	h a r t a t i b
haruas	h a r u a s
harudung	h a r u d u ŋ
harumang	h a r u m a ŋ
haryapatni	h a r j a p a t n i
hasab	h a s a b
hasai	h a s a j
hasak	h a s a k
hasar	h a s a r
hasinait	h a s i n a i t
hasma	h a s m a
hastabrata	h a s t a b r a t a
hastakutub	h a s t a k u t u b
hastawara	h a s t a w a r a
hasud	h a s u d
hasugal	h a s u ɡ a l
hasur	h a s u r
hasut	h a s u t
hasyafah	h a ʃ a f a h
hasyarat	h a ʃ a r a t
hasyiah	h a ʃ i a h
hataa	h a t a a
hatabram	h a t a b r a m
hatadingan	h a t a d i ŋ a n
hatalingan	h a t a l i ŋ a n
hatangorak	h a t a ŋ o r a k
hatasala	h a t a s a l a
hatebula	h a t ə b u l a
hatiker	h a t i k ə r
hatila	h a t i l a
hatonga	h a t o ŋ a
hatrik	h a t r i k
hatsindo	h a t s i n d o
hatuhuwai	h a t u h u w a j
hatuli	h a t u l i
hatungap	h a t u ŋ a p
hatupele	h a t u p ə l e
haturi	h a t u r i
hauce	h a w t͡ʃ ə
haudah	h a u d a h
haukalah	h a u k a l a h
haulalahe	h a u l a l a h ə
haup	h a u p
hauteas	h a u t e a s
haviah	h a v i a h
havoho	h a v o h o
hawek	h a w e k
hawiah	h a w i a h
hawik	h a w i k
hawil	h a w i l
hawoan	h a w o a n
hawortia	h a w o r t i a
hawuk	h a w u k
hayap	h a j a p
hayatani	h a j a t a n i
hazad	h a z a d
hdk	h d k
heab	h e a b
heahea	h e a h e a
heban	h ə b a n
hebefil	h ə b e f i l
hebhada	h ə b h a d a
hebhugu	h ə b h u ɡ u
hebongko	h ə b o ŋ k o
hebore	h ə b o r e
hebring	h ə b r i ŋ
hechting	h e k t i ŋ
hechtnietjes	h ə x t n i e t͡ʃ e s
hedeng	h ə d e ŋ
hedonistis	h ə d o n i s t i s
hedonofobia	h ə d o n o f o b i a
hegah	h ə ɡ a h
hegemonisme	h e ɡ ə m o n i s m ə
hegoge	h ə ɡ o ɡ e
hegol	h ə ɡ o l
heikin	h e i k i n
hekamtaurum	h e k a m t a u r u m
hekeka	h e k ə k a
heken	h e k e n
hekiba	h e k i b a
heksadaktili	h e k s a d a k t i l i
heksadesil	h e k s a d e s i l
heksaferit	h e k s a f e r i t
heksahedron	h e k s a h ə d r o n
heksakan	h e k s a k a n
heksalogi	h e k s a l o ɡ i
heksalur	h e k s a l u r
heksamina	h e k s a m i n a
heksanoat	h e k s a n o a t
heksasiklik	h e k s a s i k l i k
heksasitik	h e k s a s i t i k
heksentrik	h e k s e n t r i k
heksil	h e k s i l
hekson	h e k s o n
heksosaminidase	h e k s o s a m i n i d a s ə
hektik	h e k t i k
hektograf	h e k t o ɡ r a f
hektogram	h e k t o ɡ r a m
hektokorn	h e k t o k o r n
hektopaskal	h e k t o p a s k a l
hekuken	h e k u k e n
helaehili	h ə l a e h i l i
helah	h ə l a h
helahai	h ə l a h a j
helaihili	h ə l a i h i l i
helam	h ə l a m
helape	h ə l a p ə
heldentenor	h e l d ə n t e n o r
heleheku	h ə l e h e k u
helekono	h ə l e k o n o
heleta	h ə l ə t a
helhelur	h ə l h ə l u r
helikal	h ə l i k a l
helikam	h ə l i k a m
helikoid	h ə l i k o i d
helikonia	h ə l i k o n i a
helikospora	h ə l i k o s p o r a
helikotrema	h ə l i k o t r ə m a
helilu	h ə l i l u
helimagnetisme	h e l i m a ɡ n e t i s m ə
heling	h ə l i ŋ
helingkar	h ə l i ŋ k a r
heliofili	h ə l i o f i l i
heliofilia	h ə l i o f i l i a
heliofit	h ə l i o f i t
heliofobi	h ə l i o f o b i
heliofobia	h ə l i o f o b i a
heliogram	h ə l i o ɡ r a m
helioskop	h ə l i o s k o p
heliotaksis	h ə l i o t a k s i s
helioterapi	h ə l i o t ə r a p i
helmintiasis	h ə l m i n t i a s i s
helmintofobia	h ə l m i n t o f o b i a
helofit	h ə l o f i t
helotisme	h ə l o t i s m ə
hemada	h e m a d a
hemafobia	h e m a f o b i a
hemalet	h ə m a l e t
hemangioblastoma	h e m a ŋ i o b l a s t o m a
hemapar	h e m a p a r
hematan	h e m a t a n
hematemesis	h e m a t ə m e s i s
hematin	h e m a t i n
hematoblas	h e m a t o b l a s
hematofobia	h e m a t o f o b i a
hematohidrosis	h e m a t o h i d r o s i s
hematokel	h e m a t o k ə l
hematokolpos	h e m a t o k o l p o s
hematolagnia	h e m a t o l a ɡ n i a
hematolog	h e m a t o l o ɡ
hematometra	h e m a t o m e t r a
hematopatologi	h e m a t o p a t o l o ɡ i
hematospermia	h e m a t o s p ə r m i a
hematuri	h e m a t u r i
hembak	h ə m b a k
hemeralopi	h e m ə r a l o p i
hemian	h e m i a n
hemianalgesia	h e m i a n a l ɡ e s i a
hemianestesia	h e m i a n e s t e s i a
hemianopia	h e m i a n o p i a
hemianopsia	h e m i a n o p s i a
hemiataksia	h e m i a t a k s i a
hemiatrofi	h e m i a t r o f i
hemibalismus	h e m i b a l i s m u s
hemidiafragma	h e m i d i a f r a ɡ m a
hemidistonia	h e m i d i s t o n i a
hemiepifit	h e m i ə p i f i t
hemifasial	h e m i f a s i a l
hemifili	h e m i f i l i
hemihedral	h e m i h ə d r a l
hemiholohedral	h e m i h o l o h ə d r a l
hemik	h e m i k
hemikolektomi	h e m i k o l e k t o m i
hemikordat	h e m i k o r d a t
hemikrania	h e m i k r a n i a
hemikriptofit	h e m i k r i p t o f i t
hemiluk	h ə m i l u k
hemimandibulektomi	h e m i m a n d i b u l e k t o m i
hemimetabolik	h e m i m e t a b o l i k
hemiopia	h e m i o p i a
hemipelagik	h e m i p ə l a ɡ i k
hemipelagis	h e m i p ə l a ɡ i s
hemiselulase	h e m i s ə l u l a s ə
hemisferik	h e m i s f e r i k
hemoaglutinasi	h e m o a ɡ l u t i n a s i
hemofiliak	h e m o f i l i a k
hemofilik	h e m o f i l i k
hemofobia	h e m o f o b i a
hemogram	h e m o ɡ r a m
hemokromatois	h e m o k r o m a t o i s
hemokromogen	h e m o k r o m o ɡ e n
hemolakria	h e m o l a k r i a
hemopatologi	h e m o p a t o l o ɡ i
hemoperitoneum	h e m o p ə r i t o n e u m
hemopoiesis	h e m o p o i e s i s
hemoroidalis	h e m o r o i d a l i s
hemosit	h e m o s i t
hemositometer	h e m o s i t o m e t ə r
hemospermia	h e m o s p ə r m i a
hemostat	h e m o s t a t
hemotimpanum	h e m o t i m p a n u m
hemotokrit	h e m o t o k r i t
hemotoraks	h e m o t o r a k s
hempap	h ə m p a p
hempas	h e m p a s
hempedal	h ə m p ə d a l
hempeng	h e m p e ŋ
hempul	h ə m p u l
hempurai	h e m p u r a j
henak	h ə n a k
henbodi	h e n b o d i
hendam	h ə n d a m
hendaya	h ə n d a j a
hendok	h ə n d o k
hendroto	h ə n d r o t o
hengawi	h ə ŋ a w i
hengek	h ə ŋ ə k
hengit	h ə ŋ i t
hengkalen	h ə ŋ k a l ə n
hengkelan	h ə ŋ k ə l a n
hengkil	h ə ŋ k i l
henguliyo	h ə ŋ u l i j o
henjel	h ə n d͡ʒ ə l
hentar	h ə n t a r
hentilah	h ə n t i l a h
henyak	h ə ɲ a k
heoto	h e o t o
hepatisasi	h ə p a t i s a s i
hepatoblastoma	h ə p a t o b l a s t o m a
hepatolog	h ə p a t o l o ɡ
hepatopankreatik	h ə p a t o p a n k r e a t i k
hepatosteatosis	h ə p a t o s t e a t o s i s
hepatoterapi	h ə p a t o t ə r a p i
hepatotoksisitas	h ə p a t o t o k s i s i t a s
hepe	h ə p ə
hepsay	h ə p s a j
heptagon	h ə p t a ɡ o n
heptahedron	h ə p t a h ə d r o n
heptalogi	h ə p t a l o ɡ i
heptameter	h e p t a m e t ə r
heptasiklik	h ə p t a s i k l i k
hepuk	h ə p u k
heraot	h e r a o t
herapat	h ə r a p a t
herbakronologi	h e r b a k r o n o l o ɡ i
herbavigilans	h e r b a v i ɡ i l a n s
herena	h e r ə n a
herepang	h ə r ə p a ŋ
heret	h ə r ə t
heriasin	h e r i a s i n
heriditer	h ə r i d i t e r
heringit	h e r i ŋ i t
herkogami	h e r k o ɡ a m i
hermetisme	h e r m e t i s m ə
hermiasi	h e r m i a s i
hermitarium	h e r m i t a r i u m
herniografi	h e r n i o ɡ r a f i
hernioplasti	h e r n i o p l a s t i
herniorafi	h e r n i o r a f i
herniotomi	h e r n i o t o m i
herok	h e r o k
herpangina	h e r p a ŋ i n a
herpetarium	h e r p ə t a r i u m
herping	h e r p i ŋ
herua	h e r u a
herurok	h ə r u r o k
hesek	h e s ə k
hesi	h e s i
hesokho	h e s o x o
hespot	h e s p o t
hetae	h e t a ə
hetang	h e t a ŋ
hetas	h e t a s
heteroaglutinasi	h e t ə r o a ɡ l u t i n a s i
heteroaglutinatif	h e t ə r o a ɡ l u t i n a t i f
heteroaglutinin	h e t ə r o a ɡ l u t i n i n
heteroaksial	h e t ə r o a k s i a l
heteroalbumosa	h e t ə r o a l b u m o s a
heteroanamnesis	h e t ə r o a n a m n e s i s
heteroaromatik	h e t ə r o a r o m a t i k
heteroatomik	h e t ə r o a t o m i k
heteroauksin	h e t ə r o a u k s i n
heterobasidium	h e t ə r o b a s i d i u m
heteroblasti	h e t ə r o b l a s t i
heteroblastik	h e t ə r o b l a s t i k
heterodin	h e t ə r o d i n
heterodupleks	h e t ə r o d u p l e k s
heteroesis	h e t ə r u s i s
heterofemi	h e t ə r o f ə m i
heterofermantif	h e t ə r o f e r m a n t i f
heterofermentasi	h e t ə r o f e r m e n t a s i
heterofertilisasi	h e t ə r o f e r t i l i s a s i
heterofilik	h e t ə r o f i l i k
heterofit	h e t ə r o f i t
heterofoni	h e t ə r o f o n i
heteroforia	h e t ə r o f o r i a
heteroforin	h e t ə r o f o r i n
heterogenesis	h e t ə r o ɡ e n e s i s
heterogenetik	h e t ə r o ɡ e n e t i k
heterogin	h e t ə r o ɡ i n
heterograf	h e t ə r o ɡ r a f
heterografi	h e t ə r o ɡ r a f i
heteroimun	h e t ə r o i m u n
heterokarion	h e t ə r o k a r i o n
heterokatalitik	h e t ə r o k a t a l i t i k
heterokinesis	h e t ə r o k i n e s i s
heteroklitus	h e t ə r o k l i t u s
heterokoagulasi	h e t ə r o k o a ɡ u l a s i
heterokon	h e t ə r o k o n
heterokosmos	h e t ə r o k o s m o s
heterokromosom	h e t ə r o k r o m o s o m
heterolisin	h e t ə r o l i s i n
heterolisis	h e t ə r o l i s i s
heterologi	h e t ə r o l o ɡ i
heterologis	h e t ə r o l o ɡ i s
heteromerik	h e t ə r o m ə r i k
heteromorf	h e t ə r o m o r f
heteromorfi	h e t ə r o m o r f i
heteromorfik	h e t ə r o m o r f i k
heteromorfisme	h e t e r o m o r f i s m ə
heteronim	h e t ə r o n i m
heteronimi	h e t ə r o n i m i
heteronomi	h e t ə r o n o m i
heteroploid	h e t ə r o p l o i d
heteroskedastisitas	h e t e r o s k e d a s t i s i t a s
heterososial	h e t ə r o s o s i a l
heterostatik	h e t ə r o s t a t i k
heterostili	h e t ə r o s t i l i
heterotopia	h e t ə r o t o p i a
heterotransplan	h e t ə r o t r a n s p l a n
heterotransplantabilitas	h e t ə r o t r a n s p l a n t a b i l i t a s
heterotransplantasi	h e t ə r o t r a n s p l a n t a s i
heterotrofi	h e t ə r o t r o f i
heterotrofisme	h e t ə r o t r o f i s m ə
heterozigotik	h e t ə r o z i ɡ o t i k
heterozonal	h e t ə r o z o n a l
hetitimoliyo	h e t i t i m o l i j o
heucak	h e u t͡ʃ a k
heulandit	h e u l a n d i t
heuristis	h e u r i s t i s
hewalutaliyo	h e w a l u t a l i j o
hezaya	h ə z a j a
hgn	h ɡ n
hhi	h h i
hialinisasi	h i a l i n i s a s i
hialit	h i a l i t
hianwasim	h i a n w a s i m
hiasani	h i a s a n i
hibaan	h i b a a n
hibahan	h i b a h a n
hibernoma	h i b ə r n o m a
hibis	h i b i s
hibiskus	h i b i s k u s
hibiti	h i b i t i
hibob	h i b o b
hibridis	h i b r i d i s
hibriditas	h i b r i d i t a s
hibridoma	h i b r i d o m a
hibristofilia	h i b r i s t o f i l i a
hibualamo	h i b u a l a m o
hibubuwa	h i b u b u w a
hibuk	h i b u k
hidatod	h i d a t o d
hidigono	h i d i ɡ o n o
hidirasa	h i d i r a s a
hidramniom	h i d r a m n i o m
hidramnion	h i d r a m n i o n
hidrargilit	h i d r a r ɡ i l i t
hidrator	h i d r a t o r
hidrik	h i d r i k
hidrila	h i d r i l a
hidroalkohol	h i d r o a l k o h o l
hidroalkoholik	h i d r o a l k o h o l i k
hidrodeoksigenasi	h i d r o d e o k s i ɡ e n a s i
hidrodinamis	h i d r o d i n a m i s
hidrodistilasi	h i d r o d i s t i l a s i
hidrofilia	h i d r o f i l i a
hidrofilisitas	h i d r o f i l i s i t a s
hidrofitik	h i d r o f i t i k
hidrofluorik	h i d r o f l u o r i k
hidrofor	h i d r o f o r
hidrofotometer	h i d r o f o t o m e t ə r
hidroganik	h i d r o ɡ a n i k
hidrogasifikasi	h i d r o ɡ a s i f i k a s i
hidrografis	h i d r o ɡ r a f i s
hidrogram	h i d r o ɡ r a m
hidrokel	h i d r o k ə l
hidrokimia	h i d r o k i m i a
hidrokinematika	h i d r o k i n ə m a t i k a
hidrokinetika	h i d r o k i n e t i k a
hidroklimatologi	h i d r o k l i m a t o l o ɡ i
hidroksietil	h i d r o k s i e t i l
hidroksilisin	h i d r o k s i l i s i n
hidroksiprolin	h i d r o k s i p r o l i n
hidroksisitrat	h i d r o k s i s i t r a t
hidroksitirosol	h i d r o k s i t i r o s o l
hidrokuinol	h i d r o k u i n o l
hidrolipid	h i d r o l i p i d
hidrologia	h i d r o l o ɡ i a
hidromagnetik	h i d r o m a ɡ n e t i k
hidromekanika	h i d r o m e k a n i k a
hidromekanikal	h i d r o m e k a n i k a l
hidrometereologi	h i d r o m e t ə r e o l o ɡ i
hidrometri	h i d r o m e t r i
hidromini	h i d r o m i n i
hidronan	h i d r o n a n
hidronimi	h i d r o n i m i
hidropati	h i d r o p a t i
hidropendinginan	h i d r o p ə n d i ŋ i n a n
hidropoisis	h i d r o p o i s i s
hidropsoma	h i d r o p s o m a
hidrorengkah	h i d r o r ə ŋ k a h
hidroselulosa	h i d r o s e l u l o s a
hidroser	h i d r o s ə r
hidrosianik	h i d r o s i a n i k
hidrosiklon	h i d r o s i k l o n
hidroskop	h i d r o s k o p
hidrotaksis	h i d r o t a k s i s
hidrotalsit	h i d r o t a l s i t
hidrotopografi	h i d r o t o p o ɡ r a f i
hidrotrop	h i d r o t r o p
hidrotropisme	h i d r o t r o p i s m ə
hidrotubasi	h i d r o t u b a s i
hidroureter	h i d r o u r e t ə r
hidrozoa	h i d r o z o a
hidrus	h i d r u s
hidu	h i d u
hielofobia	h i ə l o f o b i a
hierofobia	h i ə r o f o b i a
hietograf	h i e t o ɡ r a f
hietografi	h i e t o ɡ r a f i
hifema	h i f ə m a
hifodromus	h i f o d r o m u s
higahi	h i ɡ a h i
higenitas	h i ɡ e n i t a s
higlokemia	h i ɡ l o k ə m i a
higrofili	h i ɡ r o f i l i
higrofilia	h i ɡ r o f i l i a
higrofit	h i ɡ r o f i t
higrofobia	h i ɡ r o f o b i a
higrograf	h i ɡ r o ɡ r a f
higrogram	h i ɡ r o ɡ r a m
higrometri	h i ɡ r o m e t r i
higromisin	h i ɡ r o m i s i n
higroskopisitas	h i ɡ r o s k o p i s i t a s
higrotermograf	h i ɡ r o t ə r m o ɡ r a f
higrotermogram	h i ɡ r o t ə r m o ɡ r a m
higrotermoskop	h i ɡ r o t ə r m o s k o p
hihian	h i h i a n
hihiere	h i h i ə r e
hihinaa	h i h i n a a
hihinanya	h i h i n a ɲ a
hihinato	h i h i n a t o
hijaban	h i d͡ʒ a b a n
hijaber	h i d͡ʒ a b ə r
hijangan	h i d͡ʒ a ŋ a n
hiku	h i k u
hikuala	h i k u a l a
hikung	h i k u ŋ
hilai	h i l a j
hilap	h i l a p
hilau	h i l a w
hilawadu	h i l a w a d u
hilawua	h i l a w u a
hilefobia	h i l e f o b i a
hiliba	h i l i b a
hilik	h i l i k
hiloana	h i l o a n a
hilofagus	h i l o f a ɡ u s
hilofobia	h i l o f o b i a
hiloi	h i l o j
himam	h i m a m
himanga	h i m a ŋ a
himbo	h i m b o
himel	h i m ə l
himenektomi	h i m e n e k t o m i
himenoplasti	h i m ə n o p l a s t i
himenoplastis	h i m ə n o p l a s t i s
himenopterofili	h i m ə n o p t ə r o f i l i
himlao	h i m l a o
himper	h i m p ə r
himpu	h i m p u
himsyak	h i m ʃ a k
himudu	h i m u d u
himuudu	h i m u u d u
hinap	h i n a p
hinayi	h i n a j i
hindesan	h i n d ə s a n
hindupo	h i n d u p o
hindutwa	h i n d u t w a
hinggut	h i ŋ ɡ u t
hinin	h i n i n
hininti	h i n i n t i
hinjam	h i n d͡ʒ a m
hinjou	h i n d͡ʒ o u
hinjow	h i n d͡ʒ o w
hinofui	h i n o f u i
hinole	h i n o l e
hinolong	h i n o l o ŋ
hintuak	h i n t u a k
hintuk	h i n t u k
hinunuk	h i n u n u k
hinyai	h i ɲ a j
hioid	h i o i d
hiolo	h i o l o
hiomental	h i o m e n t a l
hiosiamina	h i o s i a m i n a
hiosin	h i o s i n
hipakusia	h i p a k u s i a
hipalase	h i p a l a s ə
hipantium	h i p a n t i u m
hipegiafobia	h i p ə ɡ i a f o b i a
hiperagregasi	h i p ə r a ɡ r e ɡ a s i
hiperagresif	h i p ə r a ɡ r e s i f
hiperajusis	h i p ə r a d͡ʒ u s i s
hiperakuitas	h i p ə r a k u i t a s
hiperakumulator	h i p ə r a k u m u l a t o r
hiperamilasemia	h i p ə r a m i l a s e m i a
hiperamnesi	h i p ə r a m n e s i
hiperamonemia	h i p ə r a m o n e m i a
hiperandrogen	h i p ə r a n d r o ɡ e n
hiperandrogenisme	h i p ə r a n d r o ɡ e n i s m ə
hiperantefleksi	h i p ə r a n t e f l e k s i
hiperasiditas	h i p ə r a s i d i t a s
hiperazotemia	h i p ə r a z o t e m i a
hiperbol	h i p ə r b o l
hiperdaktili	h i p ə r d a k t i l i
hiperdefekasi	h i p ə r d e f e k a s i
hiperdontia	h i p ə r d o n t i a
hiperekoik	h i p ə r e k o i k
hipereksitabilitas	h i p ə r e k s i t a b i l i t a s
hiperemesis	h i p ə r e m e s i s
hiperemis	h i p ə r e m i s
hiperendemi	h i p ə r e n d e m i
hiperepifit	h i p ə r e p i f i t
hiperestesia	h i p ə r e s t e s i a
hiperestrinisme	h i p ə r e s t r i n i s m ə
hiperetrofleksi	h i p ə r e t r o f l e k s i
hiperfagi	h i p ə r f a ɡ i
hiperfeminin	h i p ə r f e m i n i n
hiperfleksi	h i p ə r f l e k s i
hiperfungsi	h i p ə r f u ŋ s i
hiperfungsional	h i p ə r f u ŋ s i o n a l
hipergeometrik	h i p ə r ɡ e o m e t r i k
hipergeusia	h i p ə r ɡ ə u s i a
hiperglisinemia	h i p ə r ɡ l i s i n e m i a
hipergranulasi	h i p ə r ɡ r a n u l a s i
hiperhidrosis	h i p ə r h i d r o s i s
hiperinflamasi	h i p ə r i n f l a m a s i
hiperinvolusi	h i p ə r i n v o l u s i
hiperkapnia	h i p ə r k a p n i a
hiperkarbia	h i p ə r k a r b i a
hiperkarnivora	h i p ə r k a r n i v o r a
hiperkatabolik	h i p ə r k a t a b o l i k
hiperkateksis	h i p ə r k a t e k s i s
hiperkelas	h i p ə r k ə l a s
hiperkeratinisasi	h i p ə r k ə r a t i n i s a s i
hiperkifosis	h i p ə r k i f o s i s
hiperkinesis	h i p ə r k i n e s i s
hiperkloremia	h i p ə r k l o r e m i a
hiperklorhidria	h i p ə r k l o r h i d r i a
hiperkompetisi	h i p ə r k o m p ə t i s i
hiperkreolisasi	h i p ə r k r e o l i s a s i
hiperkritis	h i p ə r k r i t i s
hiperkromatisme	h i p ə r k r o m a t i s m ə
hiperkupremia	h i p ə r k u p r e m i a
hiperlakrimasi	h i p ə r l a k r i m a s i
hiperlaktasi	h i p ə r l a k t a s i
hiperlaktatemia	h i p ə r l a k t a t e m i a
hiperlipemia	h i p ə r l i p e m i a
hiperlipoprotenemia	h i p ə r l i p o p r o t e n e m i a
hiperlordosis	h i p ə r l o r d o s i s
hipermelanosis	h i p ə r m e l a n o s i s
hipermenorea	h i p ə r m e n o r e a
hipermetabolisme	h i p ə r m e t a b o l i s m ə
hipermetropia	h i p ə r m e t r o p i a
hipermnesia	h i p ə r m n e s i a
hipermotilitas	h i p ə r m o t i l i t a s
hipernasalitas	h i p ə r n a s a l i t a s
hipernasionalisme	h i p ə r n a s i o n a l i s m ə
hiperoksaluria	h i p ə r o k s a l u r i a
hiperoksemia	h i p ə r o k s e m i a
hiperopia	h i p ə r o p i a
hiperosmolalitas	h i p ə r o s m o l a l i t a s
hiperosmolaritas	h i p ə r o s m o l a r i t a s
hiperovulasi	h i p ə r o v u l a s i
hiperparasitisme	h i p ə r p a r a s i t i s m ə
hiperparatiroid	h i p ə r p a r a t i r o i d
hiperpireksia	h i p ə r p i r e k s i a
hiperplastik	h i p ə r p l a s t i k
hiperproseksia	h i p ə r p r o s e k s i a
hiperreaktif	h i p ə r r e a k t i f
hiperreaktivitas	h i p ə r r e a k t i v i t a s
hiperresonansi	h i p ə r r e s o n a n s i
hipersaliva	h i p ə r s a l i v a
hiperseborea	h i p ə r s e b o r e a
hiperseksual	h i p ə r s e k s u a l
hiperseluler	h i p ə r s e l u l e r
hiperseluleritas	h i p ə r s e l u l e r i t a s
hipersementosis	h i p ə r s e m e n t o s i s
hipersemiotika	h i p ə r s ə m i o t i k a
hipersonika	h i p ə r s o n i k a
hipersplenisme	h i p ə r s p l e n i s m ə
hipersten	h i p ə r s t e n
hipertelorisme	h i p ə r t e l o r i s m ə
hipertermik	h i p ə r t e r m i k
hipertimesia	h i p ə r t i m e s i a
hipertoksik	h i p ə r t o k s i k
hipertoksisitas	h i p ə r t o k s i s i t a s
hipertonisitas	h i p ə r t o n i s i t a s
hipertradisional	h i p ə r t r a d i s i o n a l
hipertropia	h i p ə r t r o p i a
hiperurbanisme	h i p ə r u r b a n i s m ə
hipervaksinasi	h i p ə r v a k s i n a s i
hipervaskularisasi	h i p ə r v a s k u l a r i s a s i
hiperviskositas	h i p ə r v i s k o s i t a s
hipervolemia	h i p ə r v o l e m i a
hipestesia	h i p e s t e s i a
hipnik	h i p n i k
hipnoanalisis	h i p n o a n a l i s i s
hipnofobia	h i p n o f o b i a
hipnolangsing	h i p n o l a ŋ s i ŋ
hipnopompik	h i p n o p o m p i k
hipnosa	h i p n o s a
hipnose	h i p n o s ə
hipoadrenalisme	h i p o a d r e n a l i s m ə
hipoaktif	h i p o a k t i f
hipoaktivitas	h i p o a k t i v i t a s
hipoakusis	h i p o a k u s i s
hipoasiditas	h i p o a s i d i t a s
hipobarik	h i p o b a r i k
hipoblas	h i p o b l a s
hipodermoklisis	h i p o d ə r m o k l i s i s
hipodontia	h i p o d o n t i a
hipoekoik	h i p u k o i k
hipofibrinogenemia	h i p o f i b r i n o ɡ e n ə m i a
hipofil	h i p o f i l
hipofilantin	h i p o f i l a n t i n
hipofili	h i p o f i l i
hipofilia	h i p o f i l i a
hipofisasi	h i p o f i s a s i
hipofobia	h i p o f o b i a
hipofremia	h i p o f r ə m i a
hipofrenia	h i p o f r ə n i a
hipofungsi	h i p o f u ŋ s i
hipogami	h i p o ɡ a m i
hipogastrik	h i p o ɡ a s t r i k
hipogesia	h i p o ɡ e s i a
hipogeum	h i p o ɡ e u m
hipogini	h i p o ɡ i n i
hipognatus	h i p o ɡ n a t u s
hipogram	h i p o ɡ r a m
hipokapnia	h i p o k a p n i a
hipokarnivora	h i p o k a r n i v o r a
hipokinesia	h i p o k i n e s i a
hipokinetik	h i p o k i n e t i k
hipokloremia	h i p o k l o r ə m i a
hipokoagulabilitas	h i p o k o a ɡ u l a b i l i t a s
hipokolesterolemia	h i p o k o l e s t ə r o l e m i a
hipokondriak	h i p o k o n d r i a k
hipokondrium	h i p o k o n d r i u m
hipokoristik	h i p o k o r i s t i k
hipokrisi	h i p o k r i s i
hipokritis	h i p o k r i t i s
hipoksifilia	h i p o k s i f i l i a
hipoksik	h i p o k s i k
hipolimnia	h i p o l i m n i a
hipolimnion	h i p o l i m n i o n
hipolordosis	h i p o l o r d o s i s
hipomastia	h i p o m a s t i a
hipomenorea	h i p o m e n o r e a
hipomnesia	h i p o m n e s i a
hipomobilitas	h i p o m o b i l i t a s
hipomolitas	h i p o m o l i t a s
hiponatrium	h i p o n a t r i u m
hipoparatiroidisme	h i p o p a r a t i r o i d i s m ə
hipopion	h i p o p i o n
hipoplankton	h i p o p l a n k t o n
hipopotomonstroseskuipedaliofobia	h i p o p o t o m o n s t r o s e s k u i p e d a l i o f o b i a
hipoproteinemia	h i p o p r o t e i n ə m i a
hipoprotrombinemia	h i p o p r o t r o m b i n ə m i a
hiposalivasi	h i p o s a l i v a s i
hiposensitif	h i p o s e n s i t i f
hiposit	h i p o s i t
hipostatisasi	h i p o s t a t i s a s i
hipostoma	h i p o s t o m a
hipostomatik	h i p o s t o m a t i k
hipotaksis	h i p o t a k s i s
hipotaktis	h i p o t a k t i s
hipotenar	h i p o t e n a r
hipotesium	h i p o t e s i u m
hipotropia	h i p o t r o p i a
hipovitaminosis	h i p o v i t a m i n o s i s
hipovolemik	h i p o v o l ə m i k
hipsifobia	h i p s i f o b i a
hipsofil	h i p s o f i l
hipsometer	h i p s o m e t ə r
hirangkirang	h i r a ŋ k i r a ŋ
hiranyagarba	h i r a ɲ a ɡ a r b a
hirap	h i r a p
hirau	h i r a w
hirauan	h i r a u a n
hirhir	h i r h i r
hirogami	h i r o ɡ a m i
hirografi	h i r o ɡ r a f i
hirsutofili	h i r s u t o f i l i
hirsutofilia	h i r s u t o f i l i a
hisino	h i s i n o
hisitkau	h i s i t k a w
hispanofon	h i s p a n o f o n
histaminase	h i s t a m i n a s ə
histerikal	h i s t ə r i k a l
histerisis	h i s t ə r i s i s
histerografi	h i s t ə r o ɡ r a f i
histeropeksi	h i s t ə r o p e k s i
histeroplasti	h i s t ə r o p l a s t i
histerosalpingografi	h i s t ə r o s a l p i ŋ o ɡ r a f i
histerosel	h i s t ə r o s ə l
histerospasme	h i s t e r o s p a s m ə
histiositosis	h i s t i o s i t o s i s
histofisiologi	h i s t o f i s i o l o ɡ i
histogeni	h i s t o ɡ e n i
historikus	h i s t o r i k u s
histrionik	h i s t r i o n i k
hisymah	h i ʃ m a h
hitada	h i t a d a
hitadi	h i t a d i
hitergraf	h i t ə r ɡ r a f
hitok	h i t o k
hiuwi	h i u w i
hivota	h i v o t a
hiwan	h i w a n
hiwe	h i w ə
hiwolata	h i w o l a t a
hiwololo	h i w o l o l o
hiwuluwa	h i w u l u w a
hiwālah	h i w l a h
hiyala	h i j a l a
hiyaput	h i j a p u t
hiyayat	h i j a j a t
hkn	h k n
hoana	h o a n a
hobofobia	h o b o f o b i a
hobojang	h o b o d͡ʒ a ŋ
